0	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl,	2011-F,-6 à 10 ans-Insee RP (compl,	2011-G,-6 à 10 ans-Insee RP (compl,	2011-F, Non scolarisée-6 à 10 ans-Insee RP (compl,	2011-G, Non scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans Non scolarisé-Insee RP (compl,	2011-F,  scolarisée-6 à 10 ans-Insee RP (compl,	2011-G,  scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans  scolarisé-Insee RP (compl,	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl,	2011- 15-17 ans X DNB-Insee RP 2011 (compl,	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl,	2011- 15-17 ans X Bac ou équiv,-Insee RP 2011 (compl,	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl,	2011- 15-17 ans X Total-Insee RP 2011 (compl,	2011- 2-16 ans dont Réft mén, Infra DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, CAP BEP Insee RP (compl,	2011- 2-16 ans dont Réft mén, Bac ou Equiv, Insee RP (compl,	2011- 2-16 ans dont Réft mén, Dipl, supérieur Insee RP (compl,	2011- 2-16 ans dont Réft mén, Hors famille Insee RP (compl,	2011- 2-16 ans dont Réft mén, Total Insee RP (compl,	0
100	VITTON	693860303	65	36	29	6	3	8	31	26	57	-99999	-99999	-99999	131	53	78	5	1	6	47	77	124	4	-99999	4	196	89	107	11	4	14	78	103	181	4	-99999	4	437	22	128	5	124	5	106	10	79	2	445	24	129	7	110	7	119	7	87	3	100	358	20	11	38	-99999	5	-99999	54	11	2	36	38	252	-99999	339	0
101	LES_BROTTEAUX	693860304	67	41	26	5	5	10	36	21	57	-99999	2	2	92	52	40	2	-99999	2	49	40	90	-99999	-99999	-99999	159	93	66	7	5	12	85	61	147	-99999	2	2	401	10	104	5	101	4	108	1	88	-99999	409	12	90	2	111	6	122	1	86	3	100	313	10	9	47	2	16	-99999	75	9	9	14	32	288	-99999	352	0
102	MOLIERE	693860401	50	36	14	3	-99999	3	33	14	47	-99999	-99999	-99999	128	62	66	3	-99999	3	60	66	126	3	-99999	3	178	98	80	6	-99999	6	93	80	173	3	-99999	3	335	12	92	-99999	87	1	92	4	64	7	351	6	103	-99999	93	1	86	2	69	3	100	271	5	15	50	3	5	-99999	73	14	11	19	43	261	4	352	0
103	SAXE-BOSSUET	693860402	78	44	33	3	3	6	41	31	72	-99999	-99999	-99999	67	39	28	-99999	-99999	-99999	39	28	67	-99999	-99999	-99999	145	83	61	3	3	6	80	59	139	-99999	-99999	-99999	297	5	104	1	77	-99999	55	-99999	61	4	287	2	100	1	79	-99999	50	-99999	58	1	100	236	1	6	52	-99999	3	-99999	60	-99999	3	14	25	240	-99999	281	0
104	EDGARD_QUINET	693860403	46	25	21	-99999	-99999	-99999	25	21	46	-99999	-99999	-99999	66	50	16	-99999	-99999	-99999	50	16	66	6	1	7	112	75	37	-99999	-99999	-99999	75	37	112	6	1	7	322	9	89	2	87	3	82	2	64	2	331	6	86	1	81	2	91	1	73	2	100	258	7	12	45	-99999	6	-99999	63	23	-99999	9	36	160	-99999	228	0
105	MAIRIE	693860501	47	24	22	-99999	6	6	24	17	41	-99999	6	6	65	27	38	-99999	-99999	-99999	27	38	65	5	-99999	5	112	51	60	-99999	6	6	51	55	106	5	6	11	329	64	88	16	91	21	89	14	61	13	336	63	104	18	86	15	88	19	58	11	100	268	51	11	35	-99999	8	-99999	54	19	8	3	11	159	-99999	200	0
106	L'EUROPE	693860502	64	28	36	3	3	5	25	33	58	8	-99999	8	110	47	63	-99999	5	5	47	57	105	3	6	8	174	75	99	3	8	10	72	90	163	11	6	16	301	32	73	7	91	11	75	6	62	8	316	37	82	13	91	11	67	5	76	8	100	239	24	8	56	5	1	-99999	71	45	11	40	23	207	-99999	327	0
107	VAUBAN	693860503	99	36	63	9	11	20	28	52	80	5	8	14	170	96	74	-99999	9	9	96	65	161	14	5	19	269	132	137	9	20	29	124	117	241	19	13	33	412	32	111	8	111	8	102	9	88	7	423	34	112	5	122	9	99	12	90	8	100	324	25	20	70	-99999	11	-99999	101	55	22	76	45	281	-99999	479	0
108	JULES_FERRY	693860601	68	34	33	5	8	14	29	25	54	-99999	-99999	-99999	120	71	49	-99999	5	5	71	44	114	12	-99999	12	188	105	82	5	13	19	100	69	168	12	-99999	12	366	51	126	29	90	11	88	8	62	3	366	51	111	25	102	12	86	9	67	5	100	304	48	10	55	3	5	-99999	73	26	-99999	26	52	248	-99999	352	0
109	BOSSUET_NEY	693860602	29	19	10	3	-99999	3	16	10	27	3	-99999	3	67	36	31	-99999	-99999	-99999	36	31	67	-99999	-99999	-99999	96	55	41	3	-99999	3	52	41	94	3	-99999	3	265	6	88	3	68	2	54	1	55	-99999	260	10	81	2	68	3	60	2	51	3	100	210	6	3	27	-99999	8	-99999	37	5	8	21	16	160	-99999	210	0
110	J,_RECAMIER	693860603	52	16	35	-99999	-99999	-99999	16	35	52	-99999	-99999	-99999	51	16	35	-99999	-99999	-99999	16	35	51	3	-99999	3	103	32	70	-99999	-99999	-99999	32	70	103	3	-99999	3	251	35	79	8	74	11	47	8	51	8	265	35	82	9	79	12	47	8	57	6	100	200	27	16	30	-99999	-99999	3	49	8	11	47	13	133	8	221	0
111	BELLECOMBE-THIERS	693860701	67	34	33	1	1	2	33	32	65	5	3	8	129	54	75	-99999	3	3	54	72	126	1	3	4	196	88	108	1	4	5	87	104	191	6	6	12	369	40	114	22	94	8	87	7	74	3	311	18	93	10	86	4	74	3	58	1	100	295	37	12	49	1	18	-99999	79	21	16	51	36	251	-99999	374	0
112	LES_CHARMETTES-LAFAYETTE	693860702	119	54	65	5	13	18	49	52	101	8	4	11	176	85	91	-99999	-99999	-99999	85	91	176	12	11	23	295	139	156	5	13	18	134	143	277	20	15	34	537	71	148	19	123	22	154	16	112	14	536	64	136	24	126	17	151	11	123	12	100	425	57	33	46	2	5	-99999	86	77	20	51	97	269	-99999	514	0
113	PASTEUR	693870101	56	40	16	5	-99999	5	35	16	50	10	-99999	10	46	25	21	-99999	-99999	-99999	25	21	46	9	5	15	102	65	37	5	-99999	5	60	37	96	19	5	25	230	36	85	17	53	6	46	6	46	7	227	33	96	19	44	3	44	6	43	5	100	184	29	-99999	14	-99999	1	-99999	15	45	-99999	30	5	92	16	187	0
114	UNIVERSITES	693870102	58	19	39	-99999	2	2	19	37	56	-99999	9	9	133	59	74	-99999	5	5	59	69	129	-99999	5	5	191	78	113	-99999	7	7	78	106	185	-99999	14	14	318	42	119	26	80	6	71	3	48	7	307	29	120	23	81	4	64	-99999	42	2	100	270	35	12	55	5	11	-99999	83	30	-99999	50	11	186	108	386	0
115	CENTRE_BERTHELOT	693870103	83	30	53	-99999	-99999	-99999	30	53	83	3	23	26	144	94	50	-99999	-99999	-99999	94	50	144	17	12	29	227	124	103	-99999	-99999	-99999	124	103	227	20	35	55	340	62	99	16	80	17	86	16	75	13	367	73	111	24	89	20	95	14	72	15	100	265	49	37	28	5	-99999	-99999	69	115	3	41	55	158	-99999	372	0
116	SAINT_MICHEL	693870201	96	69	26	11	-99999	11	58	26	84	7	4	11	121	46	74	-99999	3	3	46	71	117	3	15	19	217	115	100	11	3	14	104	97	201	10	19	30	493	95	190	37	131	33	88	15	84	10	502	98	183	42	131	29	96	13	92	14	100	409	85	11	29	-99999	2	-99999	42	74	4	37	52	197	1	363	0
117	LE_PRADO	693870202	41	25	17	-99999	4	4	25	12	37	-99999	-99999	-99999	68	29	38	-99999	-99999	-99999	29	38	68	-99999	-99999	-99999	109	54	55	-99999	4	4	54	50	105	-99999	-99999	-99999	244	21	109	8	52	5	43	4	40	4	252	30	105	9	58	7	37	4	52	10	100	204	17	12	31	1	9	-99999	53	8	11	65	22	121	-99999	227	0
118	MAIRIE	693870203	55	35	20	4	-99999	4	31	20	51	-99999	5	5	56	33	23	-99999	-99999	-99999	33	23	56	-99999	-99999	-99999	111	68	43	4	-99999	4	64	43	107	-99999	5	5	207	19	75	3	46	5	52	7	34	4	202	19	73	6	45	3	52	8	32	2	100	173	15	5	48	-99999	-99999	-99999	53	13	11	-99999	16	133	-99999	173	0
119	VICTOR_BACH	693870301	65	37	28	3	4	8	34	24	58	9	-99999	9	130	52	78	-99999	-99999	-99999	52	78	130	11	11	23	195	89	106	3	4	8	86	102	188	20	11	32	442	53	158	13	120	16	102	14	62	10	444	64	166	16	110	15	95	16	73	17	100	380	43	18	45	8	3	-99999	74	45	10	2	8	279	-99999	344	0
120	SAINT_LOUIS	693870302	65	17	48	-99999	1	1	17	47	64	1	1	2	72	36	36	3	-99999	3	32	36	68	1	-99999	1	137	53	84	3	1	4	49	83	132	2	1	3	261	61	83	11	65	11	66	17	47	22	254	43	73	4	65	4	57	15	59	20	100	214	39	13	16	-99999	1	-99999	31	6	-99999	9	33	166	-99999	214	0
121	DOMER	693870401	55	19	36	5	5	10	14	32	46	5	5	10	81	50	31	-99999	-99999	-99999	50	31	81	5	1	6	136	69	67	5	5	10	64	63	127	10	6	16	397	43	153	13	94	7	81	12	69	11	372	49	133	9	85	12	70	9	84	19	100	328	32	24	30	-99999	2	-99999	56	40	-99999	25	32	134	14	246	0
122	JEAN_MACE	693870402	257	130	127	22	22	44	108	105	213	23	28	51	269	98	170	-99999	-99999	-99999	98	170	269	19	22	41	526	228	297	22	22	44	206	275	482	42	50	92	782	84	268	31	217	26	166	16	131	11	775	87	286	25	208	29	146	18	135	15	100	651	73	38	90	2	4	-99999	134	160	12	134	140	456	1	902	0
123	ROUTE_DE_VIENNE	693870403	65	31	35	10	8	18	21	27	47	5	-99999	5	93	45	47	-99999	-99999	-99999	45	47	93	6	23	29	158	76	82	10	8	18	66	74	140	11	23	34	320	45	110	16	84	12	73	6	53	11	312	36	104	15	90	12	66	5	52	4	100	267	34	8	8	-99999	-99999	5	20	50	6	25	23	133	-99999	236	0
124	JULES_BRUNARD	693870501	142	61	81	5	1	6	56	80	136	10	15	25	238	103	135	5	-99999	5	98	135	233	15	10	25	380	164	216	10	1	11	154	215	369	25	25	50	570	92	205	25	162	26	112	25	91	16	568	88	227	30	146	25	114	20	81	13	100	479	76	21	65	6	-99999	-99999	91	116	15	120	102	306	-99999	659	0
125	STALINGRAD	693870502	139	84	55	7	8	15	77	47	123	8	2	10	158	82	76	-99999	-99999	-99999	82	76	158	11	6	17	297	166	131	7	8	15	159	123	281	19	8	27	699	133	243	60	202	32	142	24	112	17	687	157	254	63	184	43	128	28	121	23	100	587	116	14	65	5	3	-99999	87	48	9	79	70	321	-99999	527	0
126	LAMOTHE	693870503	130	55	75	-99999	1	1	55	74	129	7	6	13	231	105	127	-99999	1	1	105	126	230	24	16	40	361	160	202	-99999	2	2	160	200	359	31	22	53	592	96	215	24	153	23	129	29	95	20	548	75	179	17	154	26	116	20	99	12	100	497	76	25	67	10	-99999	-99999	103	98	14	82	74	367	-99999	634	0
127	LE_FLEUVE	693870602	131	42	89	7	14	21	35	75	110	7	6	13	147	91	56	-99999	1	1	91	55	146	12	-99999	12	278	133	145	7	15	22	126	130	256	19	6	25	641	109	229	42	161	31	149	27	102	9	611	98	216	36	154	23	138	28	103	11	100	539	100	12	44	5	4	-99999	65	52	20	108	92	211	65	549	0
128	LE_RHONE	693870603	92	52	40	5	4	9	47	36	83	5	5	10	143	75	68	-99999	5	5	75	63	138	8	9	17	235	127	108	5	9	14	122	99	221	13	14	27	425	46	125	17	117	8	90	6	93	15	414	41	125	13	111	11	89	7	89	10	100	332	31	19	77	-99999	13	5	114	49	5	106	123	148	-99999	431	0
129	CITE_JARDIN	693870703	151	72	79	5	6	10	67	73	140	26	22	49	273	109	164	4	-99999	4	105	164	269	36	62	98	424	181	243	9	6	14	172	237	409	62	84	147	886	318	282	92	238	98	193	69	173	59	903	326	260	98	251	97	199	68	193	63	100	713	259	76	86	7	4	-99999	173	300	46	173	149	130	18	816	0
130	MARCEL_MERIEUX	693870801	75	37	38	1	1	2	36	37	73	9	9	18	110	55	55	-99999	3	3	55	51	107	20	12	33	185	92	93	1	4	5	91	88	180	29	21	51	398	97	144	31	91	27	92	22	71	17	398	81	149	27	86	26	90	14	73	14	100	327	80	19	37	1	6	-99999	62	116	20	54	51	110	7	358	0
131	TONY_GARNIER	693870802	82	48	34	1	4	5	47	30	77	4	8	12	190	88	102	4	-99999	4	84	102	186	16	22	38	272	136	136	5	4	9	131	132	263	20	30	50	526	86	151	14	130	24	110	28	135	20	554	89	169	19	136	25	106	21	143	24	100	391	66	33	79	4	6	-99999	122	77	59	106	122	177	8	550	0
132	JEAN_MOULIN	693880101	96	45	51	5	10	15	40	40	80	8	-99999	8	128	83	45	-99999	3	3	83	41	125	-99999	5	5	224	128	96	5	13	18	123	81	205	8	5	13	310	13	109	6	89	3	65	2	47	2	307	18	113	8	78	4	66	2	50	4	100	263	11	9	47	3	6	-99999	66	40	11	56	63	221	-99999	391	0
133	COLBERT	693880102	119	48	71	9	4	13	38	67	106	1	1	2	156	89	67	-99999	-99999	-99999	89	67	156	2	6	8	275	137	138	9	4	13	127	134	262	3	7	10	599	74	201	24	160	16	145	23	93	11	599	87	221	31	159	24	134	23	85	9	100	506	63	12	24	12	5	-99999	53	20	11	70	58	266	13	437	0
134	LES_ALOUETTES-BACHUT	693880202	204	97	107	2	2	4	95	105	199	1	5	6	250	149	102	5	-99999	5	144	102	246	7	1	8	454	246	209	7	2	9	239	207	445	8	6	14	795	135	273	37	211	40	166	33	145	25	764	98	270	24	198	27	164	23	132	24	100	650	110	9	79	-99999	12	-99999	101	49	7	141	77	504	-99999	778	0
135	LAENNEC	693880301	58	41	17	2	5	6	39	12	52	-99999	-99999	-99999	109	51	58	-99999	-99999	-99999	51	58	109	-99999	4	4	167	92	75	2	5	6	90	70	161	-99999	4	4	378	15	154	11	92	2	76	1	56	1	381	13	156	9	90	-99999	69	2	66	2	100	322	14	38	32	-99999	2	-99999	72	18	1	94	70	109	-99999	292	0
136	ROCKEFELLER-LA_BUIRE	693880302	111	54	58	13	11	25	40	46	86	9	20	30	138	72	65	-99999	-99999	-99999	72	65	138	21	12	33	249	126	123	13	11	25	112	111	224	30	32	63	663	195	224	86	193	55	133	31	113	23	652	204	233	80	173	68	130	33	116	23	100	550	172	13	53	6	1	-99999	72	82	22	83	71	138	4	399	0
137	BATAILLE	693880303	125	51	74	8	9	17	43	65	108	8	17	25	244	92	153	5	-99999	5	87	153	240	31	33	64	369	143	227	13	9	22	130	218	348	39	50	89	665	144	235	57	170	39	142	24	118	24	610	145	221	64	140	39	135	21	114	21	100	547	120	42	87	8	5	-99999	142	188	54	117	81	240	13	694	0
138	LATARGET-MERMOZ	693880401	97	37	61	8	-99999	8	29	61	90	14	21	35	114	53	61	-99999	-99999	-99999	53	61	114	34	12	47	211	90	122	8	-99999	8	82	122	204	48	33	82	561	283	142	59	164	99	132	67	123	58	509	235	124	62	140	80	110	46	135	47	100	438	225	37	38	7	-99999	-99999	82	183	3	78	33	85	-99999	383	0
139	LA_TRINITE-MERMOZ	693880402	103	28	75	12	13	26	15	62	77	14	35	49	102	56	46	16	8	24	40	38	78	21	13	33	205	84	121	28	21	50	55	100	155	35	48	82	343	115	107	40	91	30	73	27	72	18	339	106	108	35	96	31	64	23	71	17	100	271	97	15	13	-99999	4	-99999	32	130	-99999	80	25	51	13	299	0
140	GENTON-RANVIER	693880403	72	57	15	-99999	-99999	-99999	57	15	72	19	-99999	19	94	46	48	-99999	-99999	-99999	46	48	94	-99999	4	4	166	103	63	-99999	-99999	-99999	103	63	166	19	4	23	324	42	107	7	83	11	72	8	62	16	308	37	103	7	75	9	75	9	55	12	100	262	26	19	42	-99999	5	-99999	66	73	9	51	63	156	-99999	351	0
141	MAIRIE	693880404	145	52	93	2	5	7	49	88	137	1	5	6	148	72	76	10	5	16	62	70	132	28	13	41	293	124	169	12	10	23	111	158	269	29	18	47	612	138	256	56	155	44	109	24	92	14	489	118	204	50	117	39	85	13	83	16	100	520	124	30	96	1	1	-99999	128	72	48	138	42	186	32	517	0
142	PINEL_SANTY	693880501	75	37	38	1	2	3	36	36	72	16	2	18	145	63	82	6	7	12	57	76	133	15	49	64	220	100	120	7	9	15	93	112	205	31	51	82	327	49	114	19	87	12	76	12	50	6	355	46	121	19	88	11	82	13	64	3	100	277	43	25	52	-99999	5	-99999	82	150	28	91	45	151	-99999	464	0
143	LA_PLAINE	693880502	58	42	16	9	-99999	9	33	16	49	12	10	22	71	41	31	-99999	-99999	-99999	41	31	71	10	13	23	129	83	47	9	-99999	9	74	47	120	22	23	45	288	40	110	12	68	11	62	12	48	5	257	23	88	5	63	6	50	8	56	4	100	240	35	5	23	-99999	5	-99999	33	57	9	32	37	93	-99999	228	0
144	GENERAL__ANDRE	693880503	61	21	40	1	1	2	20	39	59	4	4	8	123	73	50	-99999	-99999	-99999	73	50	123	13	9	22	184	94	90	1	1	2	93	89	182	17	13	30	303	36	117	14	85	10	56	9	45	3	290	28	112	16	77	3	49	3	52	6	100	258	33	1	41	3	9	-99999	54	35	42	63	50	98	3	290	0
145	LANGLET_SANTY	693880601	111	57	54	9	10	19	48	44	92	30	28	58	153	87	66	2	1	3	85	65	150	32	34	66	264	144	120	11	11	22	133	109	242	62	62	124	716	302	217	110	194	71	148	59	157	62	713	295	228	104	182	67	149	58	154	66	100	559	240	47	52	6	4	-99999	109	250	21	92	53	50	34	499	0
146	GRANGE_ROUGE	693880602	163	99	64	11	16	27	88	48	136	33	21	53	204	80	124	1	-99999	1	79	124	203	14	38	52	367	179	188	12	16	28	167	172	339	47	59	105	766	210	271	79	212	72	153	35	130	24	743	198	256	70	201	63	161	36	125	29	100	636	186	41	63	-99999	10	-99999	114	181	31	145	131	128	-99999	616	0
147	VIVIANI	693880603	148	57	91	-99999	11	11	57	80	137	29	52	82	170	116	54	-99999	-99999	-99999	116	54	170	43	34	77	318	173	145	-99999	11	11	173	134	307	72	86	159	632	297	222	112	194	99	112	49	104	37	621	297	240	119	165	93	109	42	107	43	100	528	260	36	34	11	3	-99999	85	280	6	130	92	33	8	550	0
148	LE_BOCAGE	693880701	115	38	76	1	-99999	1	37	76	113	-99999	10	10	140	63	77	-99999	-99999	-99999	63	77	140	11	9	20	255	101	153	1	-99999	1	100	153	253	11	19	30	487	76	156	27	122	18	126	18	83	13	507	80	153	20	136	19	132	22	86	19	100	404	63	9	50	1	9	-99999	69	42	13	105	66	167	-99999	393	0
149	ETAT_UNIS	693880702	83	33	50	-99999	18	18	33	32	65	4	4	8	101	55	46	3	-99999	3	52	46	98	7	14	21	184	88	96	3	18	21	85	78	163	11	18	29	681	230	205	83	175	69	148	37	153	41	703	242	216	76	192	81	153	50	142	35	100	528	189	33	17	-99999	-99999	-99999	50	69	19	111	71	62	-99999	332	0
150	MOULIN_A_VENT	693880801	155	101	53	-99999	5	5	101	48	150	39	16	55	231	138	92	-99999	1	1	138	91	230	33	25	58	386	239	145	-99999	6	6	239	139	380	72	41	113	702	226	249	76	206	84	144	40	103	26	660	211	238	69	197	82	121	35	104	25	100	599	200	29	39	5	1	-99999	73	198	11	269	29	108	-99999	614	0
151	AUDIBERT-LA_VIROTTE	693880802	166	89	76	19	16	35	70	60	130	47	31	78	186	57	129	-99999	8	8	57	121	177	32	44	75	352	146	205	19	24	43	127	181	307	79	75	153	599	184	186	61	150	65	133	33	130	25	619	192	189	65	152	61	142	34	136	32	100	469	159	22	42	4	7	-99999	76	228	4	167	46	63	-99999	508	0
152	GRAND_TROU	693880902	101	58	42	7	-99999	7	51	42	93	8	4	12	188	105	84	-99999	-99999	-99999	105	84	188	22	18	40	289	163	126	7	-99999	7	156	126	281	30	22	52	475	102	165	33	125	28	104	24	81	17	462	89	161	32	126	25	97	17	78	15	100	394	85	9	52	4	-99999	-99999	65	93	12	148	142	106	16	515	0
153	MONTESSUY-LE_VERGOIN	693890101	132	76	56	-99999	-99999	-99999	76	56	132	31	5	36	219	120	99	-99999	-99999	-99999	120	99	219	31	28	60	351	196	155	-99999	-99999	-99999	196	155	351	62	33	96	578	158	138	49	173	54	140	34	127	21	592	171	155	58	167	57	145	36	125	20	100	451	137	22	42	19	-99999	-99999	84	153	19	134	76	176	-99999	557	0
154	LES_3_GOUTTES-GRAND_CHAMP	693890102	91	32	59	-99999	17	17	32	42	74	-99999	4	4	120	59	61	-99999	-99999	-99999	59	61	120	-99999	4	4	211	91	120	-99999	17	17	91	103	194	-99999	8	8	331	7	94	5	82	2	86	-99999	69	-99999	351	7	91	2	86	3	95	2	79	-99999	100	262	7	23	73	4	-99999	-99999	101	16	24	59	64	261	-99999	424	0
155	LOUIS_BOUQUET-JEAN_PERRIN	693890103	85	31	54	4	-99999	4	27	54	80	7	11	19	150	69	81	-99999	3	3	69	78	147	4	29	33	235	100	135	4	3	7	96	132	227	11	40	52	502	65	136	27	125	20	126	10	115	8	490	60	136	26	117	16	129	13	108	5	100	387	57	32	79	7	3	-99999	122	96	18	67	106	186	-99999	474	0
156	BALMONT_EST	693890104	51	39	12	7	-99999	7	32	12	45	6	4	10	73	26	47	4	7	11	22	40	62	3	16	19	124	65	59	11	7	18	54	52	107	9	20	29	369	106	133	36	93	29	81	23	62	18	280	63	84	15	73	21	64	14	59	13	100	307	88	10	31	3	7	3	54	79	-99999	92	43	43	-99999	256	0
157	L'INDUSTRIE-LE_BOURG	693890201	157	70	87	-99999	1	1	70	86	156	18	13	32	190	87	103	5	-99999	5	82	103	186	34	16	49	347	157	190	5	1	6	152	189	342	52	29	81	594	116	205	35	141	32	133	33	115	16	521	109	164	36	128	31	127	25	102	17	100	479	100	23	72	8	12	-99999	115	132	17	121	122	177	9	578	0
158	LA_GARE_D'EAU	693890202	19	8	11	4	6	10	4	5	9	-99999	-99999	-99999	10	4	6	-99999	-99999	-99999	4	6	10	1	1	2	29	12	17	4	6	10	8	11	19	1	1	2	69	-99999	34	-99999	14	-99999	11	-99999	10	-99999	77	9	37	2	17	6	14	1	9	-99999	100	59	-99999	3	5	3	3	-99999	14	4	-99999	3	5	38	-99999	50	0
159	ROCHECARDON-GARE_DE_VAISE	693890203	80	33	46	2	5	7	31	42	73	8	9	17	118	64	54	3	1	5	61	53	114	17	18	36	198	97	100	5	6	12	92	95	187	25	27	53	492	81	177	32	150	26	85	11	80	12	505	80	197	31	136	21	93	13	79	15	100	412	69	28	20	1	6	-99999	55	113	7	82	54	105	-99999	361	0
160	SALENGRO	693890301	114	42	72	5	23	28	37	48	86	10	-99999	10	153	72	81	-99999	-99999	-99999	72	81	153	24	25	49	267	114	153	5	23	28	109	129	239	34	25	59	711	129	266	45	180	35	156	22	109	27	672	105	248	35	162	25	153	27	109	18	100	602	102	8	31	9	7	-99999	54	119	15	71	49	200	10	463	0
161	SAINT_SIMON-MARIETTON	693890302	87	45	41	8	5	13	37	36	74	18	8	26	125	68	57	-99999	5	5	68	52	120	11	16	28	212	113	98	8	10	18	105	88	194	29	24	54	544	130	179	51	145	38	125	24	95	17	550	138	179	53	147	39	114	23	110	23	100	449	113	11	29	5	-99999	-99999	44	92	18	70	57	122	-99999	360	0
162	MAIRIE	693890303	94	47	47	10	-99999	10	38	47	85	-99999	-99999	-99999	73	22	51	-99999	1	1	22	50	72	-99999	1	1	167	69	98	10	1	11	60	97	157	-99999	1	1	537	86	230	35	124	19	102	15	81	17	379	55	141	23	93	9	86	13	59	10	100	456	69	2	3	-99999	-99999	-99999	6	10	1	50	48	147	-99999	256	0
163	SAINT_PIERRE_DE_VAISE	693890401	245	109	136	7	10	17	102	126	228	13	11	24	367	188	179	9	6	15	179	173	352	58	40	98	612	297	315	16	16	32	281	299	580	71	51	122	1084	271	373	84	268	81	248	66	195	40	1028	256	333	63	259	68	251	71	185	54	100	889	231	44	109	3	9	-99999	165	234	41	251	225	272	31	1054	0
164	ARLOING-L'OBSERVANCE	693890402	77	27	50	-99999	7	7	27	42	70	7	8	15	90	47	43	-99999	-99999	-99999	47	43	90	4	4	8	167	74	93	-99999	7	7	74	85	160	11	12	23	313	42	110	15	88	14	60	6	55	7	306	33	128	17	75	11	52	4	51	1	100	258	35	4	27	4	-99999	-99999	35	37	4	4	27	197	-99999	269	0
165	LE_BEAL-GORGE_DE_LOUP	693890403	150	77	72	2	1	3	75	71	147	15	14	30	189	77	112	4	-99999	4	73	112	185	30	22	52	339	154	184	6	1	7	148	183	332	45	36	82	793	204	272	69	206	58	167	43	148	34	748	225	260	82	190	67	161	42	137	34	100	645	170	20	55	1	10	-99999	87	185	10	174	72	149	3	593	0
